...1,Reference,DOI,CodeCitation,Year,Ecosystem,Habitat,Country,Biological.group,Mean_size,UIS,ML,Size_variance,Variance_type,Min_length,Max_length,Starting_month,Starting_year,Final_month,Final_year,Sampling_frequency,Sampling_method,Organ_content,N.sampling.unit,N.organisms,TotalMiP,TotalMeP,TotalMaP,TotalPD,FO_PD,NF_PD,FW_PD,Dead,Fragments,Fibers_thread,Pellets,Beads_granule,Foam,Film_sheet,Paintchips,Other_types,Type_unit,Average.Size_PD,Min.Size_PD,Max.size_PD,Size.variance_PD,Variance_type.1,Size_unit,Area_PD,Area_unit,Mass_PD,Volume_PD,Blue,White,Transparent,Gray,Black,Yellow,Brown,PinkPurple,Orange,Red,Green,Colored,Other_colors,Color_unit,Polymer1,Polymer1.items,Polymer2,Polymer2.items,Polymer3,Polymer3.items,Polymer4,Polymer4.items,Polymer5,Polymer5.items,Polymer6,Polymer6.items,Polymer7,Polymer7.items,Polymer8,Polymer8.items,Polymer9,Polymer9.items,Polymer10,Polymer10.items,Polymer11,Polymer11.items,Polymer12,Polymer12.items,Other_Polymers,Other_PolymersItems,Polymer_unit,QAQC_protocol,Extraction_method,Polymeric_analysis,Obs,species,kingdom,subkingdom,infrakingdom,class,order,family,genus,phylum,Lat,Lon,common.name,TotalP
1547,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Phalacrocorax carbo,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Chordata,43.45694705,-2.093167804,great cormorant,0
1548,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,1,1,NA,NA,NA,NA,100,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Puffinus mauretanicus,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Puffinus,Chordata,45.25345868,-1.317145238,NA,0
1549,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,1,1,NA,NA,NA,NA,100,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Puffinus mauretanicus,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Puffinus,Chordata,43.45694705,-2.093167804,NA,0
1550,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,9,9,NA,NA,NA,NA,22.2,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,0.78,NA,NA,1.99,SD,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Rissa tridactyla,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Rissa,Chordata,45.25345868,-1.317145238,black-legged kittiwake,0
1551,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,9,9,NA,NA,NA,NA,22.2,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,0.78,NA,NA,1.99,SD,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Rissa tridactyla,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Rissa,Chordata,43.45694705,-2.093167804,black-legged kittiwake,0
1552,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Sterna hirundo,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Sterna,Chordata,45.25345868,-1.317145238,Common tern,0
1553,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Sterna hirundo,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Sterna,Chordata,43.45694705,-2.093167804,Common tern,0
1554,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Thalasseus sandvicensis,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Thalasseus,Chordata,45.25345868,-1.317145238,Sandwich tern,0
1555,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Thalasseus sandvicensis,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Thalasseus,Chordata,43.45694705,-2.093167804,Sandwich tern,0
1556,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,61,61,NA,NA,NA,NA,11.5,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,0.15,NA,NA,0.48,SD,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Uria aalge,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Alcidae,Uria,Chordata,45.25345868,-1.317145238,common murre,0
1557,"Franco et al., 2019",10.1016/j.marpolbul.2019.06.077,MPB00533,2019,Coastal Waters,Coastal Waters,France,Birds,NA,NA,NA,NA,NA,NA,NA,February,2014,NA,2018,NA,Necropsy,Stomach,61,61,NA,NA,NA,NA,11.5,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,0.15,NA,NA,0.48,SD,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Uria aalge,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Alcidae,Uria,Chordata,43.45694705,-2.093167804,common murre,0
1686,"Golubev, 2020",10.3390/birds1010003,MPB00904,2020,Antarctica,Island,Antarctica,Birds,NA,NA,NA,NA,NA,NA,NA,January,2012,January,2016,NA,Necropsy,Stomach,30,30,NA,NA,1,1,3.333333333,NA,NA,Yes,0,1,0,0,0,0,0,0,Number,NA,NA,230,NA,NA,mm,595,mm²,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,Number,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,NA,Aptenodytes forsteri,Animalia,Bilateria,Deuterostomia,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Chordata,-66.55305556,93.00972222,emperor penguin,2
1687,"Golubev, 2020",10.3390/birds1010003,MPB00904,2020,Antarctica,Island,Antarctica,Birds,NA,NA,NA,NA,NA,NA,NA,January,2012,January,2016,NA,Bolus,NA,55,55,NA,NA,NA,NA,3.636363636,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,NA,Catharacta maccormicki,Metazoa,NA,NA,Aves,Charadriiformes,Stercorariidae,Stercorarius,Chordata,-66.55305556,93.00972222,South polar skua,0
1723,"Guen et al., 2020",10.1016/j.envint.2019.105303,MPB00746,2020,Antarctica,Island,UK,Birds,NA,NA,NA,NA,NA,NA,NA,February,2016,March,2017,NA,Feces,NA,47,47,NA,NA,NA,NA,NA,NA,NA,No,0,100,0,0,0,0,0,0,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polypropylene,2,Polyamide,1,Polychloroprene,3,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,Number,Yes,Digestion/Filtration/Visual selection,Micro-FTIR,NA,Aptenodytes patagonicus,Animalia,Bilateria,Deuterostomia,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Chordata,-54.65,-36.45,king penguin,0
1834,"Hidalgo Ruz et al., 2020",10.1002/aqc.3453,MPB00928,2020,Island,Island,New Zealand,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,2004,NA,Necropsy,NA,92,92,NA,NA,NA,722,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Ardenna grisea,Metazoa,NA,NA,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-43.00200001,173.3180429,Sooty shearwater,722
1835,"Hidalgo Ruz et al., 2020",10.1002/aqc.3454,MPB00928,2020,Island,Island,New Zealand,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,2001,NA,Necropsy,NA,3,3,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,15.4,0,0,0,7.7,0,0,0,23,38.5,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Diomedea epomophora,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,-52.5230099,169.1166103,NA,0
1836,"Hidalgo Ruz et al., 2020",10.1002/aqc.3455,MPB00928,2020,Island,Island,New Zealand,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,2009,NA,Necropsy,NA,14,14,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,21.9,0.3,0,1,21.2,8.5,0,0,36.9,4.8,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Diomedea sanfordi,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,-43.00200001,173.3180429,NA,0
1837,"Hidalgo Ruz et al., 2020",10.1002/aqc.3456,MPB00928,2020,Island,Island,New Zealand,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,2009,NA,Necropsy,NA,14,14,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,21.9,0.3,0,1,21.2,8.5,0,0,36.9,4.8,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Diomedea sanfordi,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Diomedea,Chordata,-43.9614093,-176.3948513,NA,0
1838,"Hidalgo Ruz et al., 2020",10.1002/aqc.3457,MPB00928,2020,Island,Island,Chile,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,2012,NA,Necropsy,NA,22,22,NA,NA,NA,112,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,18.8,0,0,46.4,8.9,3.6,0,0,1.8,8.9,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Fregata minor,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Fregatidae,Fregata,Chordata,-26.46749622,-105.3821666,NA,112
1839,"Hidalgo Ruz et al., 2020",10.1002/aqc.3458,MPB00928,2020,Island,Island,Chile,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,2015,NA,Necropsy,NA,20,20,NA,NA,NA,1230,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Nesofregetta fuliginosa,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Hydrobatidae,Nesofregetta,Chordata,-26.46749622,-105.3821666,Polynesian storm-petrel,1230
1840,"Hidalgo Ruz et al., 2020",10.1002/aqc.3459,MPB00928,2020,Island,Island,Chile,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,2015,NA,Necropsy,NA,13,13,NA,NA,NA,2281,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Puffinus nativitatis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Puffinus,Chordata,-26.46749622,-105.3821666,NA,2281
1841,"Hidalgo Ruz et al., 2020",10.1002/aqc.3460,MPB00928,2020,Island,Island,New Zealand,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1994,NA,2007,NA,Necropsy,NA,10,10,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,0,0,0,28,0,0,0,4,24,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Thalassarche eremita,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-43.9614093,-176.3948513,NA,0
1842,"Hidalgo Ruz et al., 2020",10.1002/aqc.3461,MPB00928,2020,Island,Island,Chile,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,2014,NA,Bolus,NA,13,13,NA,NA,NA,41,NA,NA,NA,No,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,14,2.6,0,2.6,19.3,15.8,0,0,27.2,3.6,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,NA,NA,Geographic coordinate estimated,Thalassarche melanophris,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Diomedeidae,Thalassarche,Chordata,-56.50248381,-68.72663864,Black-browed albatross,41
2023,"Ibañez et al., 2020",10.1016/j.marpolbul.2020.111351,MPB00688,2020,Antarctica,Coastal,Antarctica,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,2018,Annually,Bolus,NA,441,441,4,NA,34,38,9.4,NA,NA,No,0,0,0,0,0,0,0,0,NA,NA,NA,41.7,NA,NA,mm,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyvinyl chloride,NA,Polyethylene,NA,Polyethylene,NA,Polyamide,NA,Polypropylene,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Stercorarius antarcticus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Stercorariidae,Stercorarius,Chordata,-63.38364,-57.014919,Southern skua,76
2230,"Krug et al., 2021",10.1016/j.marpolbul.2020.111842,MPB00880,2021,Coastal,Coastal,Canada,Birds,157.8,mm,Wing length,3.2,SD,151,165,October,2018,October,2018,Occasionally,Necropsy,Proventriculus/Gizzard,100,100,NA,NA,NA,443,87.5,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.8,9,5.4,0,0,0,0,5.6,0,85.1,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Filtration/Visual selection,NA,NA,Oceanodroma leucorhoa,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Chordata,47.4535,-53.0973,Leach's storm-petrel,443
2231,"Krug et al., 2021",10.1016/j.marpolbul.2020.111842,MPB00880,2021,Coastal,Coastal,Canada,Birds,157.8,mm,Wing length,3.2,SD,151,165,October,2018,October,2018,Occasionally,Necropsy,Proventriculus/Gizzard,100,100,NA,NA,NA,443,87.5,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.8,9,5.4,0,0,0,0,5.6,0,85.1,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Filtration/Visual selection,NA,NA,Oceanodroma leucorhoa,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Chordata,47.4196,-52.9792,Leach's storm-petrel,443
2232,"Krug et al., 2021",10.1016/j.marpolbul.2020.111842,MPB00880,2021,Island,Island,Canada,Birds,NA,NA,NA,NA,NA,NA,NA,October,2018,June,2019,Occasionally,Necropsy,Proventriculus/Gizzard,3,3,NA,NA,NA,9,66.7,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0,0,0,0,0,0,0,0,0,0,0,0,9,Number,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Filtration/Visual selection,NA,Geographic coordinate estimated,Oceanodroma leucorhoa,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Chordata,44.98024935,-63.05586479,Leach's storm-petrel,9
2251,"Kuhn et al., 2021",10.1007/s11356-020-10540-6,MPB00930,2020,Antarctica,Island,Antarctica,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,1986,NA,Necropsy,Stomach,9,9,NA,NA,NA,37,NA,NA,NA,Yes,15,1,11,0,10,0,0,0,Number,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyethylene,22,Polypropylene,2,Polyvinyl chloride,2,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,%,No,Filtration/Visual selection,NIR/FTIR,NA,Daption capense,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Daption,Chordata,-66,110,NA,37
2252,"Kuhn et al., 2021",10.1007/s11356-020-10540-6,MPB00930,2020,Coastal/Island,Beach/Island,Netherlands,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1982,NA,2019,NA,Necropsy,Stomach,260,260,NA,NA,NA,4912,NA,NA,NA,Yes,2240,326,716,11,708,792,0,119,Number,NA,NA,NA,NA,NA,NA,NA,NA,47.90099,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyethylene,55.8,Polypropylene,26.1,Polyvinyl chloride,9.7,Polycarbonate,2.2,Polyethylene,1.9,Acrylonitrile butadiene styrene,1.5,Polystyrene,1.1,Polyamide,0.9,Ethylene vinyl acetate,0.3,Polymethacrylate,0.2,None,NA,None,NA,Others,0.3,%,No,Filtration/Visual selection,NIR/FTIR,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,77.80006895,13.39339252,Northern fulmar,4912
2253,"Kuhn et al., 2021",10.1007/s11356-020-10540-6,MPB00930,2020,Coastal/Island,Beach/Island,Netherlands,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1982,NA,2019,NA,Necropsy,Stomach,260,260,NA,NA,NA,4912,NA,NA,NA,Yes,2240,326,716,11,708,792,0,119,Number,NA,NA,NA,NA,NA,NA,NA,NA,47.90099,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyethylene,55.8,Polypropylene,26.1,Polyvinyl chloride,9.7,Polycarbonate,2.2,Polyethylene,1.9,Acrylonitrile butadiene styrene,1.5,Polystyrene,1.1,Polyamide,0.9,Ethylene vinyl acetate,0.3,Polymethacrylate,0.2,None,NA,None,NA,Others,0.3,%,No,Filtration/Visual selection,NIR/FTIR,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,63.69899017,-20.6983274,Northern fulmar,4912
2254,"Kuhn et al., 2021",10.1007/s11356-020-10540-6,MPB00930,2020,Coastal/Island,Beach/Island,Netherlands,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1982,NA,2019,NA,Necropsy,Stomach,260,260,NA,NA,NA,4912,NA,NA,NA,Yes,2240,326,716,11,708,792,0,119,Number,NA,NA,NA,NA,NA,NA,NA,NA,47.90099,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyethylene,55.8,Polypropylene,26.1,Polyvinyl chloride,9.7,Polycarbonate,2.2,Polyethylene,1.9,Acrylonitrile butadiene styrene,1.5,Polystyrene,1.1,Polyamide,0.9,Ethylene vinyl acetate,0.3,Polymethacrylate,0.2,None,NA,None,NA,Others,0.3,%,No,Filtration/Visual selection,NIR/FTIR,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,62.04459318,-7.361205593,Northern fulmar,4912
2255,"Kuhn et al., 2021",10.1007/s11356-020-10540-6,MPB00930,2020,Coastal/Island,Beach/Island,Netherlands,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1982,NA,2019,NA,Necropsy,Stomach,260,260,NA,NA,NA,4912,NA,NA,NA,Yes,2240,326,716,11,708,792,0,119,Number,NA,NA,NA,NA,NA,NA,NA,NA,47.90099,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyethylene,55.8,Polypropylene,26.1,Polyvinyl chloride,9.7,Polycarbonate,2.2,Polyethylene,1.9,Acrylonitrile butadiene styrene,1.5,Polystyrene,1.1,Polyamide,0.9,Ethylene vinyl acetate,0.3,Polymethacrylate,0.2,None,NA,None,NA,Others,0.3,%,No,Filtration/Visual selection,NIR/FTIR,Geographic coordinate estimated,Fulmarus glacialis,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,52.41342204,4.464557155,Northern fulmar,4912
2256,"Kuhn et al., 2021",10.1007/s11356-020-10540-6,MPB00930,2020,Antarctica,Island,Antarctica,Birds,NA,NA,NA,NA,NA,NA,NA,NA,1984,NA,1984,NA,Necropsy,Stomach,2,2,NA,NA,NA,11,NA,NA,NA,Yes,10,0,1,0,0,0,0,0,Number,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Polyethylene,10,Polypropylene,1,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,%,No,Filtration/Visual selection,NIR/FTIR,NA,Fulmarus glacialoides,Animalia,Bilateria,Deuterostomia,Aves,Procellariiformes,Procellariidae,Fulmarus,Chordata,-66,110,NA,11
